view_name,chinese_name,domain,purpose,row_grain,implementation_tier,readiness_status,readiness_blockers,grain_key,direct_lineage,physical_base_tables,readers,field_count,notes
v_ops_plan_vs_production,计划与生产达成,ops,比较已发布生产计划和实际合格产出。,地点 × 营业日 × 产品一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PRODUCTION_EXECUTION,location_id + business_date + product_id,ops_production_plan_version | ops_production_plan_line | ops_production_run | ops_production_run_line,ops_production_plan_line | ops_production_plan_version | ops_production_run | ops_production_run_line,BakeryOps | 分析/BI,8,只读分析接口，不允许作为业务事实写入口。
v_ops_product_mix_daily,产品日销售占比,ops,计算产品销量和销售额占地点日总量的比例及环比变化。,location_id × business_date × product_id × item_currency,PHASE1,BLOCK_MISSING_FACT_OR_RULE,SHARE_DENOMINATOR_UNDEFINED | PRIOR_PERIOD_SELECTION_UNDEFINED | CURRENCY_MATCH_RULE_UNDEFINED,location_id + business_date + product_id + item_currency,v_pos_item_sales_day | v_pos_sales_day_current | ops_product,ops_product | pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | pos_sales_day,BakeryOps | 财务网站 | 分析/BI,11,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_ops_production_vs_dispatch,生产与配送差异,ops,比较生产地点的合格产出、发出和接收数量。,发出地点 × 接收地点 × 营业日 × 产品一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PRODUCTION_EXECUTION,from_location_id + to_location_id + business_date + product_id,ops_production_run_line | ops_dispatch | ops_dispatch_line,ops_dispatch | ops_dispatch_line | ops_production_run_line,BakeryOps | 分析/BI,8,只读分析接口，不允许作为业务事实写入口。
v_ops_shift_by_role,岗位工时分布,ops,按地点、营业日和标准岗位汇总计划与实际工时。,地点 × 营业日 × 岗位一行,SOURCE_CONDITIONAL,DEFER_SOURCE,SOURCE_CONTRACT_NOT_VERIFIED:HR_TIMESHEET_ENTRY | EXTENSION_PACK_NOT_ACTIVATED:SHIFT_AND_WORKFORCE,location_id + business_date + role_id,ops_shift_assignment | ops_shift_requirement | v_hr_timesheet_entry_current | ops_role,hr_timesheet_entry | hr_timesheet_sync_batch | ops_role | ops_shift_assignment | ops_shift_requirement,BakeryOps | HR | 财务网站 | 分析/BI,9,只读分析接口，不允许作为业务事实写入口。
v_ops_shift_publish_readiness,班表发布就绪,ops,汇总班表版本的关键岗位覆盖、资格违规、需求人数和重叠指派。,班表版本一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:SHIFT_AND_WORKFORCE | EXTENSION_PACK_NOT_ACTIVATED:TRAINING_AND_ONBOARDING,shift_plan_version_id,ops_shift_plan_version | ops_shift_requirement | ops_shift_assignment | v_hr_role_eligibility,hr_employment | hr_training_assignment | hr_training_course | hr_training_result | ops_role_training_requirement | ops_shift_assignment | ops_shift_plan_version | ops_shift_requirement,BakeryOps | HR | 分析/BI,9,只读分析接口，不允许作为业务事实写入口。
v_ops_timeslot_sales_baseline,时段销售基线,ops,按地点、产品、日型和营业时段计算批准窗口内的滚动销量基线。,地点 × 产品 × 日型 × 时段一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,DAY_TYPE_RULE_UNDEFINED | TIMESLOT_BOUNDARY_RULE_UNDEFINED | BASELINE_WINDOW_RULE_UNDEFINED | MINIMUM_SAMPLE_RULE_UNDEFINED,location_id + product_id + day_type + slot_start + slot_end,v_pos_item_sales_hour_current | pos_product_mapping | ops_calendar_event | ops_location | ops_business_rule,ops_business_rule | ops_calendar_event | ops_location | pos_ingest_batch | pos_item_sales_hour | pos_product_mapping,BakeryOps | 分析/BI,9,时段基线只能读取 v_pos_item_sales_hour_current；每个营业日必须先固定唯一 ITEM_SALES_HOUR 批次，再进入历史窗口。基线版本还需冻结窗口、日型、异常排除和最小样本规则，禁止直接扫描所有重跑批次。
v_pos_daily_breakdown_current,当前POS日维度拆分,pos,为每个地点营业日选择一批合格 DAILY_BREAKDOWN 事实，向支付、渠道和就餐方式分析提供唯一版本。,地点 × 营业日 × 维度类型 × 维度值一行,PHASE1,PASS_SELECT_SPEC,,location_id + business_date + dimension_type + dimension_value,pos_daily_breakdown | pos_ingest_batch,pos_daily_breakdown | pos_ingest_batch,BakeryOps | 财务网站 | 分析/BI,12,"只读取 dataset_code='DAILY_BREAKDOWN' 且 SUCCEEDED、未被合格同数据集批次 supersedes 的批次；按 location_id,business_date 用 completed_at、created_at、batch_id 选一个整日批次。下游不得直接读 pos_daily_breakdown 后自行 MAX(created_at)。"
v_pos_item_sales_day,POS产品日销售,pos,把商品小时销售按营业日聚合，并仅在发生时点映射确认后提供 product_id。,location_id × business_date × listing_id,PHASE1,FIX_MODEL_CONTRACT,CURRENCY_UNIFORMITY_FAILURE_RULE_UNDEFINED | AMENDED_SELECT_SPEC_MISSING,location_id + business_date + listing_id,v_pos_item_sales_hour_current | pos_product_mapping | pos_product_listing,pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping,BakeryOps | 财务网站 | 分析/BI,10,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_item_sales_hour_current,当前POS商品小时销售,pos,为每个地点营业日只选择一批合格的 ITEM_SALES_HOUR 事实，并保留该批内每个 listing 小时行。,location_id × business_date × hour_started_at × listing_id,PHASE1,FIX_MODEL_CONTRACT,SIGNED_NULLABILITY_SELECT_SPEC_NOT_REVALIDATED | AMENDED_SELECT_SPEC_MISSING,location_id + business_date + hour_started_at + listing_id,pos_item_sales_hour | pos_ingest_batch,pos_ingest_batch | pos_item_sales_hour,BakeryOps | 财务网站 | 分析/BI,12,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_item_waste_current,当前POS商品报废,pos,为每个地点营业日选择一批合格 ITEM_WASTE 事实，保留所选批次内每条最细来源报废记录。,地点 × 营业日 × listing × 来源报废记录一行,PHASE1,PASS_SELECT_SPEC,,waste_id,pos_item_waste | pos_ingest_batch,pos_ingest_batch | pos_item_waste,BakeryOps | 财务网站 | 分析/BI,16,"只读取 dataset_code='ITEM_WASTE' 且 SUCCEEDED、未被合格同数据集批次 supersedes 的批次；按 location_id,business_date 用 completed_at、created_at、batch_id 选一个整日批次，再输出该批事实。来源更正通过新整批自然移除旧行，禁止在不同批次间逐行拼接。"
v_pos_item_waste_mapped,已治理商品报废,pos,为报废事实补充发生时点已确认product_id和标准损失分类，同时保留未映射行。,一条POS报废事实一行,PHASE1,PASS_SELECT_SPEC,,waste_id,v_pos_item_waste_current | pos_product_mapping,pos_ingest_batch | pos_item_waste | pos_product_mapping,BakeryOps | 财务网站 | 分析/BI,13,只为 current 报废事实补充发生时点有效的确认映射；pos_ingest_batch_id、source_name_snapshot、source_waste_amount 和 currency 必须原样透传。未映射 listing 仍保留 product_id=NULL，不允许 inner join 或按名称猜配。
v_pos_member_daily_metric_current,当前会员日报原值,pos,为每个地点营业日选择一个合格 MEMBER_DAILY_METRIC 批次，并原样输出所有不可可靠重算的来源日报字段。,地点 × 营业日一行,PHASE1,PASS_SELECT_SPEC,,location_id + business_date,pos_member_daily_metric | pos_ingest_batch,pos_ingest_batch | pos_member_daily_metric,财务网站 | HBTI | 分析/BI,28,"只读取 dataset_code='MEMBER_DAILY_METRIC' 且 SUCCEEDED、未被合格同数据集批次 supersedes 的批次；按 location_id,business_date 用 completed_at、created_at、batch_id 选一行。任何 required 来源指标重复或同批多行都使批次失败，不用 MAX/SUM 掩盖。"
v_pos_member_daily_summary,会员日经营摘要,pos,把会员贡献、卡核销、充值净额和余额质量放在同一门店营业日行。,location_id × business_date,PHASE1,BLOCK_MISSING_FACT_OR_RULE,CARD_PAYMENT_BREAKDOWN_MAPPING_UNDEFINED | STORED_VALUE_FORMULA_UNDEFINED | PARTIAL_STATUS_RULE_UNDEFINED | THREE_SOURCE_CURRENCY_MATCH_RULE_UNDEFINED,location_id + business_date,v_pos_member_daily_metric_current | v_pos_sales_day_current | v_pos_daily_breakdown_current,pos_daily_breakdown | pos_ingest_batch | pos_member_daily_metric | pos_sales_day,财务网站 | HBTI | 分析/BI,27,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_member_order_item,会员关联订单商品,pos,把当前订单商品、可解释会员归属和发生时点产品映射组合成个性化分析的唯一只读入口。,pos_ingest_batch_id × order_id × source_order_item_id × source_reversal_order_code,PHASE1,BLOCK_MISSING_FACT_OR_RULE,BLOCKED_ORDER_ITEM_CURRENT_DEPENDENCY | MAPPING_OCCURRENCE_TIMESTAMP_MISSING,pos_ingest_batch_id + order_id + source_order_item_id + source_reversal_order_code,v_pos_order_item_current | v_pos_order_member_attribution | pos_product_mapping | ops_product,ops_product | pos_ingest_batch | pos_member | pos_member_card_transaction | pos_order | pos_order_item | pos_product_listing | pos_product_mapping,HBTI | 财务网站 | 分析/BI,21,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_member_state_current,当前会员状态与余额,pos,从不可变会员快照中为每个会员选出最新合格观察，提供当前等级、积分、累计值和会员级余额而不覆盖历史。,会员一行,PHASE1,BLOCK_MISSING_FACT_OR_RULE,MEMBER_PROFILE_BATCH_COVERAGE_UNPROVEN | STALE_THRESHOLD_UNDEFINED,member_id,pos_member_balance_snapshot | pos_ingest_batch,pos_ingest_batch | pos_member_balance_snapshot,财务网站 | HBTI | 分析/BI,21,只读取 dataset_code='MEMBER_PROFILE' 且 batch.status='SUCCEEDED'、未被合格同数据集批次 supersedes 的快照。合格批次必须覆盖客户档案与卡列表并集，并为仅有卡的会员写 profile_present=false。按 member_id 依次以 snapshot_date DESC、batch.completed_at DESC NULLS LAST、batch.created_at DESC、batch_id DESC、snapshot_id DESC 取一行。没有合格快照则不从 pos_member 主档猜当前等级或余额。
v_pos_order_item_current,当前订单商品最小事实,pos,为每个地点和营业日选择一个合格订单商品批次，保留订单×listing最小粒度且避免重跑重复计算。,pos_ingest_batch_id × order_id × source_order_item_id × source_reversal_order_code,PHASE1,BLOCK_MISSING_FACT_OR_RULE,LATEST_S0_RAW_REPORT211_REPLAY_REQUIRED | CURRENT_BATCH_SELECT_SPEC_NOT_REVALIDATED | LISTING_ID_AUTHORITY_REQUIRED,pos_ingest_batch_id + order_id + source_order_item_id + source_reversal_order_code,pos_order_item | pos_order | pos_product_listing | pos_ingest_batch,pos_ingest_batch | pos_order | pos_order_item | pos_product_listing,BakeryOps | 财务网站 | HBTI | 分析/BI,21,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_order_member_attribution,订单会员归属判断,pos,从会员卡交易的订单连接计算唯一、歧义或未匹配归属，不在订单商品事实里复制会员ID。,一个稳定订单一行,PHASE1,PASS_SELECT_SPEC,,order_id,pos_order | pos_member_card_transaction | pos_member,pos_member | pos_member_card_transaction | pos_order,HBTI | 财务网站 | 分析/BI,8,仅聚合已通过 source_system_id+location_id+source_order_id 解析到 order_id 的会员卡流水。恰好一个不同 member_id 才输出 resolved_member_id；多会员保留在基础流水并标 AMBIGUOUS，零匹配标 UNMATCHED。该关系证明会员账号与订单有关联，不证明该会员本人吃掉、喝掉或使用了订单内全部商品。
v_pos_revenue_reconciliation,POS收入对账,pos,比较日销售、小时销售和商品小时销售三种来源粒度，显示金额和订单差异。,location_id × business_date,PHASE1,BLOCK_MISSING_FACT_OR_RULE,RECONCILIATION_THRESHOLD_UNDEFINED | MISSING_SIDE_STATUS_PRECEDENCE_UNDEFINED | THREE_SIDE_CURRENCY_MISMATCH_RULE_UNDEFINED,location_id + business_date,v_pos_sales_day_current | v_pos_sales_hour_current | v_pos_item_sales_day,pos_ingest_batch | pos_item_sales_hour | pos_product_listing | pos_product_mapping | pos_sales_day | pos_sales_hour,BakeryOps | 财务网站 | 分析/BI,16,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_pos_sales_day_current,当前POS日销售,pos,为每个地点营业日选择最新且符合质量要求的 POS 日销售批次。,地点 × 营业日一行,PHASE1,PASS_SELECT_SPEC,,location_id + business_date,pos_sales_day | pos_ingest_batch,pos_ingest_batch | pos_sales_day,BakeryOps | 财务网站 | 分析/BI,15,"确定性选版：只接受 batch.dataset_code='SALES_DAY'、batch.status='SUCCEEDED' 且 fact.quality_status='COMPLETE'；排除被另一合格 SALES_DAY 批次 supersedes 的批次；按 location_id,business_date 分组后依次按 batch.completed_at DESC NULLS LAST、batch.created_at DESC、batch.pos_ingest_batch_id DESC 取一行。没有合格批次则不返回 0，而由质量视图报告缺失。average_order_value 与 discount_rate 只在分子分母齐全且分母非零时派生；source_average_order_value 仅用于来源对账。"
v_pos_sales_hour_current,当前POS小时销售,pos,为每个地点、营业日和小时只选择一批合格的 SALES_HOUR 来源事实，阻止日常重跑被重复汇总。,location_id × business_date × hour_started_at,PHASE1,FIX_MODEL_CONTRACT,SIGNED_NULLABILITY_SELECT_SPEC_NOT_REVALIDATED | AMENDED_SELECT_SPEC_MISSING,location_id + business_date + hour_started_at,pos_sales_hour | pos_ingest_batch,pos_ingest_batch | pos_sales_hour,BakeryOps | 财务网站 | 分析/BI,12,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_product_identity,产品身份统一视图,pos,以 POS listing 为全集，显示发生时点有效的 product_id 及排产、品类和映射质量。,POS listing × 当前有效映射一行,PHASE1,FIX_MODEL_CONTRACT,MAPPING_AS_OF_SEMANTICS_UNRESOLVED,listing_id,pos_product_listing | pos_product_mapping | ops_product,ops_product | pos_product_listing | pos_product_mapping,BakeryOps | 财务网站 | 分析/BI,9,只读分析接口，不允许作为业务事实写入口。
v_scm_inventory_balance,库存余额,scm,从最近批准盘点和之后已过账库存移动推导地点、原料和批号余额。,地点 × 原料 × 可选批号一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY,location_id + material_id + lot_code + expiry_date,scm_inventory_count | scm_inventory_count_line | scm_inventory_movement | scm_inventory_movement_line,scm_inventory_count | scm_inventory_count_line | scm_inventory_movement | scm_inventory_movement_line,BakeryOps | 财务网站 | 分析/BI,9,"只读分析接口，不允许作为业务事实写入口。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：lot_code, expiry_date；不得让 NULL 绕过去重或产生重复业务行。"
v_scm_material_price_normalized,R6A1结构视图：v_scm_material_price_normalized,scm,为每个供应商商品选择最新合格价格观察并显示来源和归一化单价。,material_price_observation_id,PHASE1,BLOCK_MISSING_FACT_OR_RULE,UNIT_CONVERSION_EFFECTIVE_TIME_RULE_UNRESOLVED | ZERO_PRICE_ELIGIBILITY_RULE_UNRESOLVED | SELECT_SPEC_MISSING,material_price_observation_id,scm_material_price_observation | scm_supplier_item | scm_material_unit_conversion,scm_material_price_observation | scm_material_unit_conversion | scm_supplier_item,BakeryOps | 财务网站 | 分析/BI,19,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_scm_material_requirement_line,原料需求派生汇总,scm,从最细需求组成行按运行和原料汇总毛需求、基础单位与运行质量，不保存第二份汇总事实。,需求运行 × 原料一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY,material_requirement_key,scm_material_requirement_run | scm_material_requirement_component | scm_material,scm_material | scm_material_requirement_component | scm_material_requirement_run,BakeryOps | 财务网站 | 分析/BI,10,只汇总 quality_status='COMPLETE' 且 material_id/material_quantity 非空的组成行；run_issue_count 对整个运行计数，因此不能因某种原料自身完整而掩盖另一计划产品缺配方。无组成行时不伪造0需求。
v_scm_material_requirement_reconciliation,原料需求到补货输入核对,scm,比较派生原料毛需求与后续补货运行冻结的 required_quantity，识别跨步骤复制漂移。,需求运行 × 原料 × 可选补货行一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY,material_requirement_key + replenishment_line_id,v_scm_material_requirement_line | scm_replenishment_run | scm_replenishment_line,scm_material | scm_material_requirement_component | scm_material_requirement_run | scm_replenishment_line | scm_replenishment_run,BakeryOps | 财务网站 | 分析/BI,8,先要求 replenishment_run.material_requirement_run_id 精确相同，再按 material_id 连接；需求运行有阻断时为 BLOCKED，尚无补货行为 NO_DOWNSTREAM。绝不把不同运行的相似数量视为同一来源。 粒度键中的可空字段按 PostgreSQL NULLS NOT DISTINCT / IS NOT DISTINCT FROM 语义分组和去重，包括：replenishment_line_id；不得让 NULL 绕过去重或产生重复业务行。
v_scm_material_requirement_trace,原料需求穿透,scm,逐行展示需求运行实际产出的原料贡献或质量阻断，并穿透到计划产品和配方组件。,需求组成行一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY,material_requirement_component_id,scm_material_requirement_run | scm_material_requirement_component | ops_production_plan_line | cost_card_recipe_component | cost_card_recipe_version,cost_card_recipe_component | cost_card_recipe_version | ops_production_plan_line | scm_material_requirement_component | scm_material_requirement_run,BakeryOps | 财务网站 | 分析/BI,11,只读分析接口，不允许作为业务事实写入口。
v_scm_purchase_order_reconciliation,采购单版本金额核对,scm,比较采购单批准版本的冻结单头金额与最小采购行汇总，保留正式单据同时证明合计没有漂移。,purchase_order_revision_id,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY | CURRENCY_UNIFORMITY_RULE_UNDEFINED,purchase_order_revision_id,scm_purchase_order_revision | scm_purchase_order_line,scm_purchase_order_line | scm_purchase_order_revision,BakeryOps | 财务网站 | 分析/BI,11,R6A1 closed structural field/type/nullability/lineage contract. New field business metadata is explicitly STRUCTURAL_CONTRACT_ONLY; readiness is not promoted and SELECT specification remains blocked.
v_scm_replenishment_trace,订货建议穿透,scm,把原料需求、库存、在途、安全量、建议量、批准量、PO和收货串成一行。,补货运行 × 原料 × 可选供应商商品版本一行,EXTENSION_PACK,DEFER_EXTENSION,EXTENSION_PACK_NOT_ACTIVATED:PROCUREMENT_AND_INVENTORY,replenishment_line_id,scm_replenishment_run | scm_replenishment_line | scm_supplier_item | scm_purchase_order_line | scm_purchase_order_revision | scm_goods_receipt_line,scm_goods_receipt_line | scm_purchase_order_line | scm_purchase_order_revision | scm_replenishment_line | scm_replenishment_run | scm_supplier_item,BakeryOps | 财务网站 | 分析/BI,13,只读分析接口，不允许作为业务事实写入口。
v_scm_supplier_item_current_mapping,当前供应商商品物料映射,scm,按查询时点从供应商商品版本中返回每个供应商SKU唯一有效且已确认的物料和包装规格。,供应商 × 供应商SKU一行,PHASE1,FIX_MODEL_CONTRACT,AS_OF_SEMANTICS_UNRESOLVED,supplier_id + supplier_sku,scm_supplier | scm_supplier_item | scm_material | scm_material_unit_conversion,scm_material | scm_material_unit_conversion | scm_supplier | scm_supplier_item,BakeryOps | 财务网站 | 分析/BI,9,scm_supplier_item 本身就是有效期版本，不再另设映射表。base_unit_quantity 从 order_unit_id、material.base_unit_id 和 material_unit_conversion_id 确定性派生。以查询 as_of 时点应用 valid_from <= as_of AND (valid_to IS NULL OR as_of < valid_to)，只接受 CONFIRMED；无有效版本时按供应商目录业务键报告 MISSING，不按名称猜填。
