current_object,object_type,disposition,target_objects,migration_rule,compatibility_rule,risk
wa_send_log,table,MIGRATE_SUMMARY,msg_outbound_message | msg_delivery_attempt | msg_delivery_event,有业务幂等键的记录先对齐外发消息；发送尝试迁attempt；有渠道事件ID和发生时间的送达/已读/失败状态迁不可变delivery_event。成功业务推送由外发消息自然键和投递事实派生，其余只按天计数归档，不伪造正文或状态时间。,当前送达状态与推送成功去重结论均由治理视图派生；限额由投递尝试汇总，不保留手机号散列之外的冗余。,MEDIUM
daily_sales_record,view,REBUILD_VIEW,v_pos_item_sales_day,以新商品小时事实和有效产品映射重建。,在调用方切换期提供旧列名兼容视图。,MEDIUM
product_material_cost,view,REBUILD_VIEW,v_cost_card_product_cost_quality,从产品日成本质量视图派生旧列名，并显式携带quality_status。,BakeryOps复盘先适配新字段，再移除兼容视图。,MEDIUM
timeslot_sales_record,view,REBUILD_VIEW,v_ops_timeslot_sales_baseline,用location/product和批准滚动窗口重建。,预测调用改用稳定ID。,MEDIUM
v_cost_card_current_cost,view,REBUILD_VIEW,v_cost_card_product_cost_quality,从不可变产品成本快照选择目标日成本。,财务成本页面切新视图。,MEDIUM
v_cost_card_data_quality,view,REBUILD_VIEW,v_cost_card_product_cost_quality | v_app_data_quality_summary,将成本覆盖和问题队列合并展示。,旧字段兼容后逐步下线。,MEDIUM
v_cost_card_price_current_normalized,view,R6A1_MAPPING_SUPERSEDED_REVIEW_REQUIRED,NO_APPROVED_TARGET_INTENT,R6 的 MYR、MIGRATED_MANUAL 与派生采用价规则已失效；R6A1 只批准目标结构，尚无经批准的逐字段迁移意图。,必须由最新 S0、单位换算、币种指定、政策与直接 FX 证据重新批准；当前不得产生 target intent。,CRITICAL
v_cost_card_recipe_expanded,view,REBUILD_VIEW,v_cost_card_recipe_expanded,用统一material_id和版本化配方递归展开，并检测循环。,成本与MRP共用同一展开视图。,HIGH
v_daily_margin,view,REBUILD_VIEW,v_cost_card_daily_margin,按location/business_date汇总产品毛利并同时展示总覆盖和可信覆盖。,管理页面必须连同覆盖率显示。,MEDIUM
v_forecast_accuracy,view,REBUILD_VIEW,v_ops_forecast_accuracy,用forecast_run/product/location与治理销售事实重建。,BakeryOps报表切新视图。,MEDIUM
v_holiday_factor,view,REBUILD_VIEW,v_ops_holiday_factor,仅选择有来源和质量状态的需求因子，兜底明确标FALLBACK。,预测引擎读取factor_source。,MEDIUM
v_identity_gap,view,REBUILD_VIEW,v_identity_mapping_gap,覆盖地点、商品、人员、原料四类映射缺口及业务影响。,质量看板切新视图。,MEDIUM
v_item_cost_quality,view,REBUILD_VIEW,v_cost_card_product_cost_quality,按location/date/product展示组件和价格覆盖。,定价和毛利页面切新视图。,MEDIUM
v_item_daily_pulse,view,REBUILD_VIEW,v_ops_item_daily_pulse,连接已发布计划、实际生产、配送、销售、报废、断货和质量状态。,复盘页切新视图。,MEDIUM
v_item_sales_keyed,view,RETIRE_NAME_RECOVERY,v_pos_item_sales_day,不再按英文名回补item_key；所有事实必须有listing_id，未映射product保留NULL并入审核。,调用方改读listing/product映射质量。,HIGH
v_item_waste_keyed,view,REBUILD_VIEW,v_pos_item_waste_mapped,按发生时点有效listing映射补product_id，不按名称猜。,复盘和成本损失读取新视图。,MEDIUM
v_labor_productivity,view,REBUILD_VIEW,v_ops_labor_productivity,按location/business_date连接实际工时和POS净销售。,不输出未经批准的产品级人工成本。,MEDIUM
v_pos_item_by_name,view,RETIRE,,名称仅用于候选审核，不再输出名称到唯一item_key的伪权威视图。,所有调用改用listing_id或确认mapping。,HIGH
v_product_identity,view,REBUILD_VIEW,v_product_identity,以listing为全集并使用有有效期的确认映射。,旧列名可短期兼容。,MEDIUM
v_revenue_manager_vs_pos,view,REBUILD_VIEW,v_ops_manager_sales_reconciliation,从复盘人工输入和POS事实核对，不让任何一侧覆盖另一侧。,复盘页切新视图。,MEDIUM
v_revenue_reconciliation,view,REBUILD_VIEW,v_pos_revenue_reconciliation,按location/date核对日、小时和商品三种POS粒度。,抓取监控切新视图。,MEDIUM
v_shift_by_post,view,REBUILD_VIEW,v_ops_shift_by_role,按标准role_id汇总计划与实际工时，不再截取自由文本post第一段。,班表报表切新岗位视图。,MEDIUM
