audit_position,model_version,table_name,chinese_name,domain,foundation_tier,lifecycle,row_grain,storage_class,minimum_grain_verdict,derivability,physical_reason,derived_fields_or_outputs,action,r5_status,claude_fable_5_result,writer,readers,mutation_policy
42,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member_contact,会员联系方式,pos,CORE_BUSINESS,CORE_MIGRATION,会员 × 联系方式类型 × 有效期一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,隔离存放业务明确批准保留的会员手机号，并支持换号历史。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务的受限写入路径,授权会员运营,CONTROLLED_UPDATE_UNTIL_TERMINAL
43,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member_card,会员卡,pos,CORE_BUSINESS,CORE_MIGRATION,每张来源会员卡一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把一名会员的多张卡拆为独立身份，避免把卡余额永远聚合进会员主档。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | HBTI | 分析/BI,CONTROLLED_UPDATE
44,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member_balance_snapshot,会员状态与余额快照,pos,CORE_BUSINESS,CORE_MIGRATION,会员 × 快照日期 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存来源在某日直接观察到、无法从不完整流水可靠反推的会员等级、积分、累计值和会员名下全部卡余额。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,partial flag and missing fields -> nullable balances + pos_ingest_batch status,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | HBTI | 分析/BI,APPEND_ONLY
45,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member_card_transaction,会员卡交易流水,pos,CORE_BUSINESS,CORE_MIGRATION,每笔来源会员卡交易一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存充值、消费核销、退款和余额调整的不可变事件。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | HBTI | 分析/BI,APPEND_ONLY
46,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,pos_member_daily_metric,会员日指标,pos,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × POS批次一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存会员人数、消费、充值、核销、调整和期末余额等来源日报原值；比率和可重算净额只在视图派生。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,source/POS member-sales ratios -> v_pos_member_daily_summary | card payment net and source/POS ratios -> v_pos_member_daily_summary | topup total and stored-value face net -> v_pos_member_daily_summary | partial flag and missing fields -> nullable measures + pos_ingest_batch status,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,RES/POS 同步服务,财务网站 | HBTI | 分析/BI,APPEND_ONLY
47,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_calendar_event,日历事件,ops,CORE_BUSINESS,CORE_MIGRATION,辖区 × 日期 × 事件一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存已解析的节假日、学校假期和其他可验证日历事件。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 日历任务,BakeryOps | 分析/BI,CONTROLLED_WORKFLOW
48,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_operational_event,运营突发事件,ops,CORE_BUSINESS,CORE_MIGRATION,一个地点的一次连续运营事件一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录停电、设备故障、人流异常、促销或其他当日突发情况及人工证据。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,门店或区域运营,BakeryOps | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
49,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_operational_event_product,运营事件受影响产品,ops,CORE_BUSINESS,CORE_MIGRATION,运营事件 × 产品一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,明确运营事件影响哪些产品以及影响方向和数量。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,门店或区域运营,BakeryOps | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
50,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_forecast_run,需求预测运行,ops,CORE_BUSINESS,CORE_MIGRATION,地点 × 目标营业日 × 一次算法运行一行,CORE_DECISION_OUTPUT,PASS_HISTORICAL_DECISION_FACT,CALCULABLE_BUT_CURRENT_INPUTS_CANNOT_RECREATE_PAST_DECISION,冻结一次预测使用的目标日期、算法、输入清单和结果状态。；虽然数值可计算，但该版本曾被提出、批准或用于触发行动，历史决定本身不可从当前输入反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 预测任务,BakeryOps | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
51,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_forecast_line,产品预测行,ops,CORE_BUSINESS,CORE_MIGRATION,预测运行 × 产品一行,CORE_DECISION_OUTPUT,PASS_HISTORICAL_DECISION_FACT,CALCULABLE_BUT_CURRENT_INPUTS_CANNOT_RECREATE_PAST_DECISION,保存一次预测对每个产品的数量区间和解释。；虽然数值可计算，但该版本曾被提出、批准或用于触发行动，历史决定本身不可从当前输入反推。,accuracy/error -> v_ops_forecast_accuracy,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 预测任务,BakeryOps | 分析/BI,APPEND_ONLY
52,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_production_plan_version,生产预估单版本,ops,CORE_BUSINESS,CORE_MIGRATION,生产地点 × 计划营业日 × 版本号一行,CORE_DECISION_OUTPUT,PASS_HISTORICAL_DECISION_FACT,CALCULABLE_BUT_CURRENT_INPUTS_CANNOT_RECREATE_PAST_DECISION,直接保留某地点某营业日每次预测建议、人工调整、审批、发布或取消，不再为同一自然键另建空壳主单。；虽然数值可计算，但该版本曾被提出、批准或用于触发行动，历史决定本身不可从当前输入反推。,,R6_MERGE_INTO: absorb ops_production_plan; location + business date is the stable plan identity,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP; CODEX_FURTHER_MERGED_REDUNDANT_CORE_SHELL,BakeryOps；审批人改变状态,BakeryOps | 供应链 | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
53,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_production_plan_line,生产预估单产品行,ops,CORE_BUSINESS,CORE_MIGRATION,预估单版本 × 产品一行,CORE_DECISION_OUTPUT,PASS_HISTORICAL_DECISION_FACT,CALCULABLE_BUT_CURRENT_INPUTS_CANNOT_RECREATE_PAST_DECISION,保存某版本每个产品的计划数量和人工判断来源。；虽然数值可计算，但该版本曾被提出、批准或用于触发行动，历史决定本身不可从当前输入反推。,adjustment_delta -> compare quantity with based_on_plan_line_id,R6_MERGE_INTO: absorb ops_plan_adjustment reason and provenance into a new plan-version line; derive delta,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP; PLAN_ADJUSTMENT_MERGE_TARGET_CORRECTED_TO_LINE,BakeryOps,BakeryOps | 供应链 | 分析/BI,APPEND_ONLY
54,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_production_plan_slot,生产时段计划,ops,EXTENSION_PACK:PRODUCTION_EXECUTION,PLANNED_MODULE,计划产品行 × 生产时段一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,把产品总计划拆到具体生产时段，解决总量正确但时段断货的问题。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,BakeryOps,BakeryOps | 分析/BI,APPEND_ONLY
55,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_workload_run,工作量计算运行,ops,EXTENSION_PACK:SHIFT_AND_WORKFORCE,PLANNED_MODULE,地点 × 营业日 × 一次工作量计算一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,把已发布生产计划和预测销售转换为岗位/工位所需分钟，作为班表显式上游。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,BakeryOps 工作量任务,BakeryOps | 分析/BI,CONTROLLED_UPDATE_UNTIL_TERMINAL
56,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_workload_line,岗位工作量行,ops,EXTENSION_PACK:SHIFT_AND_WORKFORCE,PLANNED_MODULE,工作量运行 × 岗位 × 工位 × 可选产品一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,保存某工作量运行对岗位、工位及可选产品的需求分钟和数量依据。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,BakeryOps 工作量任务,BakeryOps | 分析/BI,APPEND_ONLY
57,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_production_run,实际生产批次,ops,EXTENSION_PACK:PRODUCTION_EXECUTION,PLANNED_MODULE,生产地点 × 营业日 × 一次生产批次一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,记录一次真实生产执行，不用计划数量冒充实际产出。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,门店/厨房执行流程,BakeryOps | 供应链 | 分析/BI,CONTROLLED_UPDATE
58,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_production_run_line,实际生产产品行,ops,EXTENSION_PACK:PRODUCTION_EXECUTION,PLANNED_MODULE,生产批次 × 产品一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,保存实际生产的合格、报废和返工数量，并可追溯到计划行。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,门店/厨房执行流程,BakeryOps | 供应链 | 分析/BI,APPEND_ONLY
59,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_dispatch,地点间配送,ops,EXTENSION_PACK:PRODUCTION_EXECUTION,PLANNED_MODULE,发出地点 × 接收地点 × 一次配送批次一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,记录成品从中央厨房或门店发往另一地点的一次配送。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,配送执行流程,BakeryOps | 供应链 | 分析/BI,CONTROLLED_UPDATE
60,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_dispatch_line,配送产品行,ops,EXTENSION_PACK:PRODUCTION_EXECUTION,PLANNED_MODULE,配送单 × 产品一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,保存配送中每个产品的发出、接收、拒收和差异数量。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,配送执行流程,BakeryOps | 供应链 | 分析/BI,APPEND_ONLY
61,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_daily_review,每日运营复盘,ops,CORE_BUSINESS,CORE_MIGRATION,地点 × 营业日 × 复盘版本一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存某地点营业日的结构化复盘版本，区分人工事实、AI总结和采纳状态。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 复盘流程,BakeryOps | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
62,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_review_action,复盘改进行动,ops,CORE_BUSINESS,CORE_MIGRATION,复盘 × 一项改进行动一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,把复盘建议变成有负责人、期限和完成状态的动作。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,门店或区域运营,BakeryOps | 分析/BI,CONTROLLED_UPDATE
63,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_business_rule,运营业务规则,ops,CORE_BUSINESS,CORE_MIGRATION,适用地点/产品组合或企业全局 × 规则代码 × 版本一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,版本化保存企业级、地点级、产品级或地点产品级的排产阈值、产品策略、招聘可预约窗口和断货排除等低频配置。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 设置流程,BakeryOps | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
64,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_job_requisition,招聘需求,hr,CORE_BUSINESS,CORE_MIGRATION,一个招聘需求一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录某地点、岗位所需人数、期限和批准状态，作为候选申请的业务来源。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 招聘流程,BakeryOps | 分析/BI,CONTROLLED_WORKFLOW
65,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_application,候选申请,hr,CORE_BUSINESS,CORE_MIGRATION,人员 × 招聘需求 × 一次申请一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录自然人对一个招聘需求的一次申请身份和来源；阶段变化只追加到 hr_application_stage_event。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 招聘流程,BakeryOps | 分析/BI,CONTROLLED_UPDATE
66,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_application_stage_event,候选申请阶段事件,hr,CORE_BUSINESS,CORE_MIGRATION,候选申请 × 一次阶段迁移一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,只追加保存候选申请每次进入新阶段的时间、原因、来源和操作者，使漏斗和停留时长可以重建。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 招聘流程或渠道同步,BakeryOps | 分析/BI,APPEND_ONLY_DECISION_RECORD
67,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_appointment,面试试工预约,hr,CORE_BUSINESS,CORE_MIGRATION,申请 × 一次预约一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录候选人面试、试工或文件办理的一次预约及其实际执行结果；试工不再另建一对一结果表。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,"R6_MERGE_INTO: absorb hr_trial execution timestamps, outcome and safety incident",R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_KEEP_PLUS_MERGED_R5_OBJECT,HR 招聘流程,BakeryOps,CONTROLLED_UPDATE
68,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_assessment,候选人评估,hr,CORE_BUSINESS,CORE_MIGRATION,申请 × 评估类型 × 一次评估一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,PARTIAL_FIELDS_DERIVED_IN_VIEW,保存一次结构化评估的建议、红线结论、评估者和模板版本；总分由明细视图派生。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,total_score -> v_hr_assessment_summary,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR或业务面试官,BakeryOps | 分析/BI,APPEND_ONLY
69,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_assessment_score,评估项目得分,hr,CORE_BUSINESS,CORE_MIGRATION,评估 × 评分项目一行,CORE_BASE_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,逐项保存评分、权重、红线和证据，避免只有总分无法解释。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR或业务面试官,BakeryOps | 分析/BI,APPEND_ONLY
70,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_offer,Offer版本,hr,CORE_BUSINESS,CORE_MIGRATION,申请 × Offer版本一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,版本化保存候选人的岗位、地点、薪酬摘要、有效期和接受状态。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 招聘流程,BakeryOps | 授权财务,DRAFT_MUTABLE_THEN_FROZEN
71,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_onboarding_task,入职任务,hr,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,雇佣关系 × 入职任务代码一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,逐项跟踪合同、证件、系统账号、培训和门店准备等入职事项。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,HR 入职流程,BakeryOps,CONTROLLED_UPDATE
72,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_employee_event,员工事件,hr,CORE_BUSINESS,CORE_MIGRATION,雇佣关系 × 一次事件一行,CORE_WORKFLOW_FACT,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,记录转正、调动、停职、奖惩、离职等不可变人事事件。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR 人事流程,BakeryOps | 授权财务 | 分析/BI,APPEND_ONLY_DECISION_RECORD
73,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_screening_rule,招聘筛选规则,hr,CORE_BUSINESS,CORE_MIGRATION,一个规则版本一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,保存经人工批准、带证据和适用范围的招聘筛选规则。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,HR规则审核流程,BakeryOps | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
74,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_training_course,培训课程,hr,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,一个培训课程一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,维护课程稳定身份，内容和考核规则放在版本表。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,HR培训管理,BakeryOps | 分析/BI,CONTROLLED_UPDATE
75,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_training_course_version,培训课程版本,hr,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,课程 × 版本号一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,冻结课程内容、及格线、有效期和考核规则版本。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,HR培训管理,BakeryOps | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
76,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_training_assignment,培训指派,hr,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,雇佣关系 × 课程版本 × 一次指派一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,记录员工被要求完成的具体课程版本、期限和原因。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,HR或门店培训负责人,BakeryOps | 分析/BI,CONTROLLED_WORKFLOW
77,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,hr_training_result,培训结果,hr,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,培训指派 × 一次尝试一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,保存一次课程学习或考试的分数、结果和资格有效期。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,培训系统或负责人,BakeryOps | 分析/BI,APPEND_ONLY
78,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_role,标准岗位,ops,CORE_BUSINESS,CORE_MIGRATION,一个标准岗位一行,CORE_MASTER_IDENTITY,PASS_MINIMUM_PHYSICAL_FOUNDATION,NO,维护排班、招聘和培训共同使用的标准岗位身份。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,,KEEP_IN_PHASE1,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_CORE_KEEP,BakeryOps 运营主数据,BakeryOps | HR | 分析/BI,CONTROLLED_UPDATE
79,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_station,标准工位,ops,EXTENSION_PACK:SHIFT_AND_WORKFORCE,PLANNED_MODULE,一个标准工位定义一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,维护地点内可排班的工位或工作区域。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,BakeryOps 运营主数据,BakeryOps | 分析/BI,CONTROLLED_UPDATE
80,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_role_training_requirement,岗位培训要求,ops,EXTENSION_PACK:TRAINING_AND_ONBOARDING,PLANNED_MODULE,岗位 × 课程 × 生效区间一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,定义岗位需要哪些课程、是否强制和有效期规则。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER,运营与HR共同维护,BakeryOps | HR | 分析/BI,CONTROLLED_UPDATE
81,HOTCRUSH-CORE-V1-REVIEW-R6-2026-08-10,ops_shift_plan_version,班表版本,ops,EXTENSION_PACK:SHIFT_AND_WORKFORCE,PLANNED_MODULE,地点 × 营业日 × 版本号一行,EXTENSION_PACK,NOT_PHASE1_EXTENSION_ONLY,NOT_APPLICABLE_UNTIL_MODULE_ENABLED,直接保留某地点某营业日班表每次草稿、资格校验、批准、发布或取消，不再另建空壳班表主单。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,,DESIGN_ONLY_DO_NOT_CREATE; R6_MERGE_INTO: absorb ops_shift_plan; location + business date is the stable shift-plan identity,R5_PHYSICAL_CANDIDATE_REAUDITED_IN_R6,CLAUDE_EXTENSION_LATER; CODEX_FURTHER_MERGED_REDUNDANT_EXTENSION_SHELL,BakeryOps；审批人改变状态,BakeryOps | HR | 财务网站 | 分析/BI,DRAFT_MUTABLE_THEN_FROZEN
