r5_object,r6_disposition,r6_target,phase1_physical,full_catalog_physical_contract,extension_or_condition,reason,claude_fable_5,final_override
cost_card_material_price,PHASE1_CORE_BUSINESS,cost_card_material_price,YES,YES,,从供应商价格观察或人工批准值中选择某地点、原料的有效成本价格。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
finance_import_batch,PHASE1_CORE_BUSINESS,finance_import_batch,YES,YES,,记录财务模板、银行文件或人工数据每次导入的文件、期间、校验值和批准状态。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_sales_daily,PHASE1_CORE_BUSINESS,finance_sales_daily,YES,YES,,保存财务模板口径的门店日销售，保持与 POS 事实独立用于核对。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_item_sales_monthly,PHASE1_CORE_BUSINESS,finance_item_sales_monthly,YES,YES,,保存财务模板中月度单品数量和金额，作为 POS 聚合的独立核对来源。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_monthly_cost_line,PHASE1_CORE_BUSINESS,finance_monthly_cost_line,YES,YES,,用统一粒度保存材料、人工、仓运和期间费用，同时保留类别和组织来源。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_cashflow_line,PHASE1_CORE_BUSINESS,finance_cashflow_line,YES,YES,,保存门店月度现金流项目和金额，不与收入或利润混用。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_order_logistics_line,PHASE1_CORE_BUSINESS,finance_order_logistics_line,YES,YES,,保留财务模板中包含订货、付款、发货、到港、交付和入库日期的历史物流行。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_inventory_snapshot_line,PHASE1_CORE_BUSINESS,finance_inventory_snapshot_line,YES,YES,,保存财务模板月末现存、在途、用量、规格和采购类型。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_inventory_flow_line,PHASE1_CORE_BUSINESS,finance_inventory_flow_line,YES,YES,,保存财务模板按仓别的期初、入库、领用和期末数量。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_supplier_purchase_monthly,PHASE1_CORE_BUSINESS,finance_supplier_purchase_monthly,YES,YES,,保存财务模板按月、供应商、物料和规格聚合的采购数量、单价和金额。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_target,PHASE1_CORE_BUSINESS,finance_target,YES,YES,,保存地点、月份和指标的目标值及版本。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
finance_monthly_metric,PHASE1_CORE_BUSINESS,finance_monthly_metric,YES,YES,,保存财务模板提供的营业利润、净利润、摊销费、储值净额等标准月指标。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
finance_period_category_map,PHASE1_CORE_BUSINESS,finance_period_category_map,YES,YES,,版本化维护财务来源类别到销售、管理、财务、研发等期间费用口径的映射。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
mkt_campaign_version,PHASE1_CORE_BUSINESS,mkt_campaign_version,YES,YES,,一行冻结一个活动代码版本的名称、类型、时间窗、适用地点、参与规则、问卷算法和奖励政策；不再为只有版本表引用的活动另建主档。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
mkt_campaign_member,PHASE1_CORE_BUSINESS,mkt_campaign_member,YES,YES,,记录会员在某活动版本中的资格、邀请、开始、完成和取消历史，不再把活动状态覆盖在 pos_member 当前快照上。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,CORE_KEEP,NONE
mkt_survey_question,PHASE1_CORE_BUSINESS,mkt_survey_question,YES,YES,,版本化保存活动问卷题目、类型、顺序和必答规则。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
mkt_survey_question_option,PHASE1_CORE_BUSINESS,mkt_survey_question_option,YES,YES,,保存选择题选项代码、文本、顺序和可选分析标签。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
mkt_survey_response,PHASE1_CORE_BUSINESS,mkt_survey_response,YES,YES,,保存会员对某活动版本的一次完整、部分或仅有历史结果锚点的问卷尝试。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
mkt_survey_answer,PHASE1_CORE_BUSINESS,mkt_survey_answer,YES,YES,,逐个原子值保存选项、评分、布尔或文本答案；多选题每个被选选项各占一行，不把多个外键塞进数组。；这是来源原值或最小业务事件，是多种派生分析的不可替代输入。,CORE_KEEP,NONE
mkt_survey_result,PHASE1_CORE_BUSINESS,mkt_survey_result,YES,YES,,保存一次问卷作答锚点经具体算法版本计算或由历史来源迁入的 HBTI 类型及其他测评结果；历史结果可能缺少原答案，不能冒充可复算。；虽然数值可计算，但该版本曾被提出、批准或用于触发行动，历史决定本身不可从当前输入反推。,CORE_KEEP,NONE
mkt_reward,PHASE1_CORE_BUSINESS,mkt_reward,YES,YES,,维护礼品、优惠券或权益的稳定身份。；稳定身份、有效期映射、单位换算或已发布定义无法从交易结果可靠反推。,CORE_KEEP,NONE
mkt_reward_stock,PHASE1_CORE_BUSINESS,mkt_reward_stock,YES,YES,,保存活动版本、地点和奖励的可用、预留和已发数量。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,CORE_KEEP,NONE
mkt_reward_claim,PHASE1_CORE_BUSINESS,mkt_reward_claim,YES,YES,,记录会员选择、预留、发放、到期或取消一份奖励的完整状态。；人工决定、批准、状态转换或业务副作用本身就是事实，不能从最终结果倒推。,CORE_KEEP,NONE
msg_conversation,PHASE1_PLATFORM_SIDECAR,msg_conversation,YES,YES,,统一表示内部助手、候选人 WhatsApp 或会员活动的一段会话，并用类型化外键连接业务对象。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
msg_message,PHASE1_PLATFORM_SIDECAR,msg_message,YES,YES,,只追加保存会话中的入站、出站和系统消息及经过审核的正文。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
msg_conversation_state,PHASE1_PLATFORM_SIDECAR,msg_conversation_state,YES,YES,,保存招聘或助手多轮流程的当前节点、已收集参数和到期时间；完成后仍保留最终状态摘要。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
msg_outbound_message,PHASE1_PLATFORM_SIDECAR,msg_outbound_message,YES,YES,,保存待发送消息、业务推送自然键、最早发送时间、幂等键和队列状态；投递次数、最后错误和成功去重结论从投递事实派生。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
msg_delivery_attempt,PHASE1_PLATFORM_SIDECAR,msg_delivery_attempt,YES,YES,,只追加记录外发消息每次调用渠道、结果、外部消息ID和脱敏错误。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
msg_delivery_event,EXTENSION_LATER,msg_delivery_event,NO,YES,CHANNEL_RECEIPTS: 消息渠道回执,只追加保存渠道回执中的 SENT、DELIVERED、READ、FAILED 等状态变化，避免覆盖消息历史状态。；只有对应模块启用并出现真实写入者、业务副作用或处理历史时才物理实施，首期不建。,EXTENSION_LATER,NONE
ai_prompt_segment,PHASE1_PLATFORM_SIDECAR,ai_prompt_segment,YES,YES,,一行冻结一个可复用 Prompt 片段版本的内容、变量结构和校验值；不在每个模板关联中重复复制内容。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
ai_prompt_template,PHASE1_PLATFORM_SIDECAR,ai_prompt_template,YES,YES,,一行冻结一个 AI 场景模板版本的模型、参数、输出 schema 和安全策略；不再为稳定模板头另拆版本表。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
ai_prompt_template_segment,PHASE1_PLATFORM_SIDECAR,ai_prompt_template_segment,YES,YES,,按顺序连接模板版本和已冻结片段版本，只保存组合关系及消息角色。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
ai_call,PHASE1_PLATFORM_SIDECAR,ai_call,YES,YES,,记录一次模型调用的模板版本、调用方、输入引用、输出、token、成本、延迟和验证结果。；身份权限、幂等、安全、任务恢复、审计或投递恢复需要持久技术状态；它不是业务分析表。,CORE_KEEP,NONE
ops_calendar_import_batch,MERGE_INTO,app_job_run,NO_SEPARATE_TABLE,NO,,与 app_job_run 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_MERGE_INTO:app_job_run,NONE
ops_production_plan,MERGE_INTO,ops_production_plan_version,NO_SEPARATE_TABLE,NO,,与 ops_production_plan_version 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_KEEP,FINAL_OVERRIDE:CORE_MERGE_INTO:ops_production_plan_version
cost_card_recipe,MERGE_INTO,cost_card_recipe_version,NO_SEPARATE_TABLE,NO,,与 cost_card_recipe_version 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_KEEP,FINAL_OVERRIDE:CORE_MERGE_INTO:cost_card_recipe_version
ops_plan_adjustment,MERGE_INTO,ops_production_plan_line,NO_SEPARATE_TABLE,NO,,与 ops_production_plan_line 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_MERGE_INTO:ops_production_plan_version,FINAL_OVERRIDE:CORE_MERGE_INTO:ops_production_plan_line
hr_trial,MERGE_INTO,hr_appointment,NO_SEPARATE_TABLE,NO,,与 hr_appointment 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_MERGE_INTO:hr_appointment,NONE
scm_supplier_item_material_mapping,MERGE_INTO,scm_supplier_item,NO_SEPARATE_TABLE,NO,,与 scm_supplier_item 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_MERGE_INTO:scm_supplier_item,NONE
ai_prompt_template_version,MERGE_INTO,ai_prompt_template,NO_SEPARATE_TABLE,NO,,与 ai_prompt_template 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_MERGE_INTO:ai_prompt_template,NONE
mkt_campaign,MERGE_INTO,mkt_campaign_version,NO_SEPARATE_TABLE,NO,,与 mkt_campaign_version 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_KEEP,FINAL_OVERRIDE:CORE_MERGE_INTO:mkt_campaign_version
ops_shift_plan,MERGE_INTO,ops_shift_plan_version,NO_SEPARATE_TABLE,NO,,与 ops_shift_plan_version 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,EXTENSION_LATER,FINAL_OVERRIDE:CORE_MERGE_INTO:ops_shift_plan_version
msg_push_deduplication,MERGE_INTO,msg_outbound_message,NO_SEPARATE_TABLE,NO,,与 msg_outbound_message 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,CORE_KEEP,FINAL_OVERRIDE:CORE_MERGE_INTO:msg_outbound_message
scm_purchase_order,MERGE_INTO,scm_purchase_order_revision,NO_SEPARATE_TABLE,NO,,与 scm_purchase_order_revision 属于同一身份、运行或版本事实；独立表会造成一对一同步漂移。,EXTENSION_LATER,FINAL_OVERRIDE:CORE_MERGE_INTO:scm_purchase_order_revision
ops_demand_factor_observation,DERIVE_VIEW,v_ops_holiday_factor,NO,NO,,可由更基础、版本化输入确定性重算，改由 v_ops_holiday_factor 输出。,DERIVE_VIEW,NONE
scm_material_requirement_line,DERIVE_VIEW,v_scm_material_requirement_line,NO,NO,,可由更基础、版本化输入确定性重算，改由 v_scm_material_requirement_line 输出。,EXTENSION_LATER,FINAL_OVERRIDE:DERIVE_VIEW:v_scm_material_requirement_line
cost_card_product_cost_snapshot,DERIVE_VIEW,v_cost_card_product_cost_snapshot,NO,NO,,可由更基础、版本化输入确定性重算，改由 v_cost_card_product_cost_snapshot 输出。,DERIVE_VIEW,NONE
cost_card_product_cost_component,DERIVE_VIEW,v_cost_card_product_cost_component,NO,NO,,可由更基础、版本化输入确定性重算，改由 v_cost_card_product_cost_component 输出。,DERIVE_VIEW,NONE
app_data_quality_issue,REMOVE,app_job_run,NO,NO,,跨域 entity_type/entity_id 工单会制造无外键的多态副本；质量状态由各域核对视图统一派生，若未来确需人工工单，应由独立工单系统引用 rule_code 与证据链接，不反向成为事实来源。 app_job_run 仅记录必要刷新任务，不保存成本结果。,REMOVE,NONE
cost_card_cost_run,REMOVE,app_job_run,NO,NO,,成本完全由版本化配方、采用价与单位换算确定；刷新运行统一记录到 app_job_run。 app_job_run 仅记录必要刷新任务，不保存成本结果。,REMOVE,NONE
