object_type,object_name,row_count_exact,purpose_or_comment,grain,grain_evidence_status,primary_key,foreign_keys,unique_constraints,check_constraints,static_runtime_readers,static_runtime_writers,disposition,target_objects,risk
table,finance_pl_metrics,66,财务利润表关键指标月表，一行 = 月×门店×指标名(当期/摊销运输费、当期/摊销仓储费、达人优惠券、实际收入、储值净额、市场费用(固定)、营业利润、利润总额、净利润(含储值))，覆盖 2025-12 至 2026-05，由一次性脚本 sql/load2.js 从利润表模板导入。务必与 daily_pnl 区分：daily_pnl 是按天的 POS 侧损益(当前 0 行)，本表是按月的财务模板口径,财务利润表关键指标月表，一行 = 月×门店×指标名(当期/摊销运输费、当期/摊销仓储费、达人优惠券、实际收入、储值净额、市场费用(固定)、营业利润、利润总额、净利润(含储值))，覆盖 2025-12 至 2026-05，由一次性脚本 sql/load2.js 从利润表模板导入,已确认：生产库表注释,"PRIMARY KEY (month, store, metric)",,,,finance_web,finance_web,MIGRATE,finance_monthly_metric,MEDIUM
table,finance_revenue_daily,0,财务模板口径的按天营业额，一行 = 日期×门店，记流水/实收/折扣/折扣率，import_source 恒为 finance_template；专门与外部 POS 写的 daily_revenue 隔离(后者唯一键只有 date、无法多门店)。当前 0 行空表，等待销售模板上传,财务模板口径的按天营业额，一行 = 日期×门店，记流水/实收/折扣/折扣率，import_source 恒为 finance_template,已确认：生产库表注释,,,"UNIQUE (date, store)",CHECK (import_source = 'finance_template'::text) | CHECK (btrim(store) <> ''::text),finance_web,finance_web,MIGRATE,finance_import_batch | finance_sales_daily,HIGH
table,finance_stock,482,月度库存盘点快照，一行 = 月×门店×物料(名称+规格)，记现存量/在途量/当月用量/单件体积与采购类型(国内/本地)，覆盖 2026-04 至 2026-07；由财务站网页上传库存模板写入。与 finance_stock_flow 的区别：本表是时点盘点存量，flow 表是按仓别的期初入库领用期末流量,月度库存盘点快照，一行 = 月×门店×物料(名称+规格)，记现存量/在途量/当月用量/单件体积与采购类型(国内/本地)，覆盖 2026-04 至 2026-07,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MIGRATE_REKEY,finance_inventory_snapshot_line,MEDIUM
table,finance_stock_flow,491,月度进销存流水，一行 = 月×门店×仓别(常温/冷冻)×物料，记期初/入库/领用/期末四个量，覆盖 2026-04 至 2026-07；仅由一次性脚本 sql/load2.js 导入，网页上传通道不写此表。与时点盘点表 finance_stock 互补，目前只被 API 与 AI 事实层读取，前端页面未渲染,月度进销存流水，一行 = 月×门店×仓别(常温/冷冻)×物料，记期初/入库/领用/期末四个量，覆盖 2026-04 至 2026-07,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MIGRATE_REKEY,finance_inventory_flow_line,MEDIUM
table,finance_store,1,财务站门店注册表，一行一家门店，含显示名、启用状态与有效月份区间(active_from_month/active_to_month)，配合 app_user_store_scope 做门店级数据权限。注意这不是运营侧 bakery-ops 使用的 stores 表（那张以 store_code 如 pavilion 为键、带地址班表飞书配置），两表之间无外键无映射，门店名写法也不同（本表用中文全名）,财务站门店注册表，一行一家门店，含显示名、启用状态与有效月份区间(active_from_month/active_to_month)，配合 app_user_store_scope 做门店级数据权限,已确认：生产库表注释,PRIMARY KEY (store),,,CHECK (active_from_month IS NULL OR active_from_month ~ '^\d{4}-(0[1-9]|1[0-2])$'::text) | CHECK (active_from_month IS NULL OR active_to_month IS NULL OR active_to_month >= active_from_month) | CHECK (active_to_month IS NULL OR active_to_month ~ '^\d{4}-(0[1-9]|1[0-2])$'::text) | CHECK (btrim(display_name) <> ''::text) | CHECK (btrim(store) <> ''::text),finance_web,未由静态扫描确认,MERGE_IDENTITY,ops_location | ops_location_source_identity,CRITICAL
table,finance_supplier_orders,274,供应商采购明细的月度聚合，一行 = 月×门店×供应商×物料×规格，含数量/单价/金额，来自进销存逐日流水按月汇总并配供应价格单，覆盖 2026-04 至 2026-07；仅由一次性脚本 sql/load2.js 导入。区别于单据级、带订货到入库全套日期的 finance_orders,供应商采购明细的月度聚合，一行 = 月×门店×供应商×物料×规格，含数量/单价/金额，来自进销存逐日流水按月汇总并配供应价格单，覆盖 2026-04 至 2026-07,已确认：生产库表注释,PRIMARY KEY (id),,,,finance_web,finance_web,MIGRATE_REKEY,finance_supplier_purchase_monthly,MEDIUM
table,finance_targets,138,月度经营目标值，一行 = 月×门店×目标项(总流水/实收金额/折扣费用/食材成本/包材成本/原料成本/人工成本/仓储费/运输费/物料费/其他费用)，覆盖 2026-01 至 2026-07；由财务站网页上传目标损益模板写入，用于实际值对目标的达成率与标准率计算,月度经营目标值，一行 = 月×门店×目标项(总流水/实收金额/折扣费用/食材成本/包材成本/原料成本/人工成本/仓储费/运输费/物料费/其他费用)，覆盖 2026-01 至 2026-07,已确认：生产库表注释,"PRIMARY KEY (month, store, item)",,,,finance_web,finance_web,VERSION,finance_target,MEDIUM
table,forecast_snapshot,1946,"排产建议快照，一行 = 某天某商品当时实际发出的建议出货量，(date, product_name) 唯一、当天重算即覆盖；bakery-ops forecast.service 生成建议后异步写入。存在的意义是事后复盘「当天到底建议了多少」——因为 product_sales_baseline 会滚动更新，事后重算的结果不等于当日实际发出的建议","排产建议快照，一行 = 某天某商品当时实际发出的建议出货量，(date, product_name) 唯一、当天重算即覆盖",已确认：生产库表注释,PRIMARY KEY (id),,"UNIQUE (date, product_name)",,bakery_ops,bakery_ops,REMODEL,ops_forecast_run | ops_forecast_line | ops_production_plan_version | ops_production_plan_line,CRITICAL
table,hbti_auth_token,0,HBTI 的不透明认证令牌，一行一个令牌（主键是令牌的 sha256，不是令牌本身）。kind=challenge 是 OTP 挑战（10 分钟，带 state 与 attempts），kind=session 是登录会话（2 小时）。两者合并是因为本质相同：带 TTL 的令牌 + AES-256-GCM 加密载荷。**不是会员数据**：发码时还不知道是谁，且一个会员可以同时持有多个令牌——这正是它没有被收进 pos_member 的原因。payload 明文含手机号与 RES token，只以密文落库。写者 = hotcrush-hbti。,HBTI 的不透明认证令牌，一行一个令牌（主键是令牌的 sha256，不是令牌本身）,已确认：生产库表注释,PRIMARY KEY (token_hash),,,"CHECK (kind = 'challenge'::text AND state IS NOT NULL AND attempts IS NOT NULL OR kind = 'session'::text AND state IS NULL AND attempts IS NULL) | CHECK (attempts IS NULL OR attempts >= 0 AND attempts <= 5) | CHECK (kind = ANY (ARRAY['challenge'::text, 'session'::text])) | CHECK (state IS NULL OR (state = ANY (ARRAY['pending'::text, 'verifying'::text, 'consumed'::text]))) | CHECK (token_hash ~ '^[a-f0-9]{64}$'::text)",hbti_web,hbti_web,REISSUE_NOT_MIGRATE,app_one_time_token,HIGH
table,hbti_gift_stock,9,HBTI 完成礼的周边库存池；template_name 必须与 RES 券模板名逐字一致,结构上由 PRIMARY KEY (template_name) 唯一标识；业务粒度仍需由写入方确认,合理推测：结构约束,PRIMARY KEY (template_name),,,CHECK (initial_stock >= 0) | CHECK (issued_count >= 0) | CHECK (issued_count <= initial_stock),hbti_web,hbti_web,MIGRATE_REKEY,mkt_reward | mkt_reward_stock | mkt_reward_claim | v_mkt_reward_stock_reconciliation,CRITICAL
table,hbti_rate_limit,0,"HBTI 的固定窗口限流计数器，一行 = 一个 (scope, 窗口起点, 主体哈希) 桶。主体可能是会话令牌、手机号或 IP，一律只存哈希。窗口过期后行即失效，靠每日 Cron 清理，读路径不依赖删除。写者 = hotcrush-hbti。","HBTI 的固定窗口限流计数器，一行 = 一个 (scope, 窗口起点, 主体哈希) 桶",已确认：生产库表注释,PRIMARY KEY (bucket),,,CHECK (count >= 0),未由静态扫描确认,hbti_web,EXPIRE_NOT_MIGRATE,app_rate_limit_event,LOW
table,holiday,18,马来西亚公共假期与特殊日期字典，一行一个日期（date 为字符串 YYYY-MM-DD，唯一），coefficient 是该日排产系数（目前 18 条全为空，实际系数走 business_rule）；bakery-ops 设置页维护，排产与 AI 复盘读取,马来西亚公共假期与特殊日期字典，一行一个日期（date 为字符串 YYYY-MM-DD，唯一），coefficient 是该日排产系数（目前 18 条全为空，实际系数走 business_rule）,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (date),,bakery_ops,未由静态扫描确认,SPLIT_EVIDENCE,app_job_run | ops_calendar_event | v_ops_holiday_factor,HIGH
table,hourly_sales_summary,2594,按天 × 小时一行的整店逐时汇总（账单数、客数、净销/流水、平均单价、折扣，date+hour 唯一），2026-01-01 起每晚由 res_api/sync-to-db.js 从 POS 写入，逐时真值无口径问题。和 item_hourly_sales 粒度相同但不拆单品——要单品维度看 item_hourly_sales，要整店逐时看本表,按天 × 小时一行的整店逐时汇总（账单数、客数、净销/流水、平均单价、折扣，date+hour 唯一），2026-01-01 起每晚由 res_api/sync-to-db.js 从 POS 写入，逐时真值无口径问题,已确认：生产库表注释,PRIMARY KEY (id),,"UNIQUE (date, hour)",,bakery_ops,res_api,MIGRATE,pos_sales_hour | v_pos_sales_hour_current,CRITICAL
table,item_hourly_sales,83109,按天 × 小时 × 单品一行的 POS 逐时销量事实表（qty、净销、流水），2026-01-01 起，是本库最细的销售事实来源，daily_sales_record 与 timeslot_sales_record 都由它派生。每晚 KL 23:00 由 res_api/sync-to-db.js 按日期整段删重写，当天数据另由 res_api/scrape-intraday.mjs 日内多次覆盖刷新；同族兄弟：daily_sales_record 按天、hourly_sales_summary 按小时不拆品、finance_item_sales 按月且来自财务模板；store 列全为 NULL,按天 × 小时 × 单品一行的 POS 逐时销量事实表（qty、净销、流水），2026-01-01 起，是本库最细的销售事实来源，daily_sales_record 与 timeslot_sales_record 都由它派生,已确认：生产库表注释,PRIMARY KEY (id),,"UNIQUE (date, hour, item_name)",,bakery_ops、finance_web、res_api,res_api,MIGRATE_SOURCE_FIRST,pos_ingest_batch | pos_product_listing | pos_item_sales_hour,CRITICAL
table,item_last_sale,1585,按天 × 单品一行的「当天最后成交时刻」（last_sale_time 为分钟精度的 KL 本地时间）与当日总量，专供 bakery-ops 精确断货检测，2026-07-02 起每晚由 res_api/sync-to-db.js 写入（数据源 res_api/scrape-item-last-sale.mjs）。item_name 与 item_hourly_sales / item_waste 同口径；本表某天缺失时下游会回落到 item_hourly_sales 的小时级口径,按天 × 单品一行的「当天最后成交时刻」（last_sale_time 为分钟精度的 KL 本地时间）与当日总量，专供 bakery-ops 精确断货检测，2026-07-02 起每晚由 res_api/sync-to-db.js 写入（数据源 res_api/scrape-item-last-sale.mjs）,已确认：生产库表注释,"PRIMARY KEY (date, item_name)",,,,bakery_ops、res_api,res_api,RETIRE_DERIVED,ops_stockout_event,MEDIUM
table,item_waste,3727,按天 × 单品 × 报废原因一行的报废明细（qty 数量、amount 金额），2026-01-02 起每晚由 res_api/sync-to-db.js 从 POS 写入，财务站报废分析与 bakery-ops 复盘/预测都读它。口径坑：waste_reason 在 2026-01～03 有 89 行旧中文值（排产报损/试吃报损/异常报损），之后统一为 scheduling / tasting / production / other / gift，跨期汇总两套值都要算,按天 × 单品 × 报废原因一行的报废明细（qty 数量、amount 金额），2026-01-02 起每晚由 res_api/sync-to-db.js 从 POS 写入，财务站报废分析与 bakery-ops 复盘/预测都读它,已确认：生产库表注释,PRIMARY KEY (id),,"UNIQUE (date, item_name, waste_reason)",,bakery_ops、finance_web、res_api,res_api,MIGRATE,pos_item_waste | v_pos_item_waste_current | v_pos_item_waste_mapped,HIGH
table,job_openings,1,在招岗位，一行一个招聘位，来源是 JobStreet 职位（external_job_id）或门店二维码海报（qr_token），applications 通过 job_opening_id 挂在它下面，由 bakery-ops 招聘模块写入；当前仅 1 行（Pavilion 前厅 Service crew）,在招岗位，一行一个招聘位，来源是 JobStreet 职位（external_job_id）或门店二维码海报（qr_token），applications 通过 job_opening_id 挂在它下面，由 bakery-ops 招聘模块写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,"CHECK (role_area = ANY (ARRAY['FOH'::text, 'BOH'::text])) | CHECK (source = ANY (ARRAY['jobstreet'::text, 'qr_poster'::text]))",未由静态扫描确认,未由静态扫描确认,MIGRATE,hr_job_requisition,MEDIUM
table,offers,0,录用 offer 记录，一行一个 application 的 offer，建议薪资默认取自飞书试工流程跟踪表（salary_source=lark）或人工覆盖，由 bakery-ops 招聘流程写入。当前 0 行，实际流程尚未跑到发 offer 这一步,录用 offer 记录，一行一个 application 的 offer，建议薪资默认取自飞书试工流程跟踪表（salary_source=lark）或人工覆盖，由 bakery-ops 招聘流程写入,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (application_id) REFERENCES applications(id) | FOREIGN KEY (approved_by_user_id) REFERENCES staff(user_id) | FOREIGN KEY (store_id) REFERENCES ops_store(store_code),,"CHECK (salary_source = ANY (ARRAY['lark'::text, 'manual'::text])) | CHECK (status = ANY (ARRAY['draft'::text, 'approved'::text, 'sent'::text, 'accepted'::text, 'declined'::text]))",未由静态扫描确认,未由静态扫描确认,VERSION,hr_offer,HIGH
table,ops_audit_log,2037,bakery-ops 的 skill 执行流水（原名 audit_log），一行一次技能运行：run_id、skill_id、发起人、渠道、状态、入参与出参 JSONB、耗时。务必与 app_audit_log 区分——那是财务网站的增删改审计（记 before_data/after_data）。注意本表 status=running 的行有数百条，是未写回终态的运行，属数据质量问题,bakery-ops 的 skill 执行流水（原名 audit_log），一行一次技能运行：run_id、skill_id、发起人、渠道、状态、入参与出参 JSONB、耗时,已确认：生产库表注释,PRIMARY KEY (run_id),,,"CHECK (status = ANY (ARRAY['queued'::text, 'running'::text, 'success'::text, 'error'::text]))",未由静态扫描确认,未由静态扫描确认,CLASSIFY_SPLIT,app_job_run | app_audit_event,HIGH
table,ops_store,2,门店注册表（原名 stores），一行一个门店，主键 store_code 是人可读文本（pavilion / 海外项目组），带面试与试工时间窗、店长与厨师长 user_id、飞书 base 配置，由 bakery-ops 写入并被招聘全链路外键引用。注意它与 finance_store 是两张互不相干的门店表：finance_store 由财务分析站维护、主键是中文门店名（如 吉隆坡Pavilion门店），两者之间既无外键也无映射,门店注册表（原名 stores），一行一个门店，主键 store_code 是人可读文本（pavilion / 海外项目组），带面试与试工时间窗、店长与厨师长 user_id、飞书 base 配置，由 bakery-ops 写入并被招聘全链路外键引用,已确认：生产库表注释,PRIMARY KEY (store_code),FOREIGN KEY (head_chef_user_id) REFERENCES staff(user_id) | FOREIGN KEY (manager_user_id) REFERENCES staff(user_id),,,未由静态扫描确认,未由静态扫描确认,MERGE_IDENTITY,ops_location | ops_location_source_identity | ops_business_rule | app_user | app_user_role | app_user_location_scope,CRITICAL
table,out_of_stock_record,598,断货记录，一行 = 某天某商品的一次断货：售罄时刻与所属时段、受影响的后续时段、估算损失数量与金额，用于测算理想营业额和排产补货建议；bakery-ops 写。input_name 为 auto 的行由 stockout-detector 每晚自动检测生成（占多数），其余是老板手工录入时的原始文本,断货记录，一行 = 某天某商品的一次断货：售罄时刻与所属时段、受影响的后续时段、估算损失数量与金额，用于测算理想营业额和排产补货建议,已确认：生产库表注释,PRIMARY KEY (id),,,,bakery_ops,未由静态扫描确认,MIGRATE,ops_stockout_event,MEDIUM
table,pos_member,4845,"一行一个 POS 会员（store + member_id）的当前状态快照，不留历史。实测总人数 **4,824** = 3,710（档案与卡列表都有）+ 1,111（只在卡列表）+ 3（只有档案没有卡）；注意 4,821 只是「卡列表上的 distinct customerId」，不是人口总数。写者 = ~/hot/res_api 的 scrape-member-snapshot.mjs → sync-to-db.js；本迁移挂在财务仓库的迁移链上只是因为全库唯一带 checksum 校验的迁移执行器在那里 —— **财务站不是写者，只读**。数据源必须是 /crm/datamanage/customer/page ∪ /crm/datamanage/card/page 两个接口的**并集**：只跑 customer/page 会丢掉 1,111 人（23%），他们的 cardShopId=0 被门店权限过滤掉了。金额一律 MYR 元；/crm 接口返回的是**整数分**，抓取侧已除以 100。balance_* 为该会员名下所有卡的合计（4,821 名持卡人中仅 27 人持 2 张卡，故不单独建卡表）。has_profile=false 的约 1,111 行是只出现在卡列表、档案列表查不到的持卡人，他们的 registered_on / source_type 必为 NULL —— 这是事实缺失，不是抓取失败。★ 本表含**一项个人资料：手机号**（phone_country_code / phone_national / phone_e164）。这是数据控制者的明确决定。三列受两道锁保护：前置安全迁移已收回 anon/authenticated 的授予；本迁移第 5 节另行收回三张会员表的 service_role 授予（越权访问报 42501），本表另开 RLS 且不建任何 policy（anon/authenticated 将来被误 GRANT 时只返回 0 行）。service_role 是 BYPASSRLS 角色，RLS 挡不住；它必须始终依靠第 5 节的 REVOKE 保持无权。凡是不需要联系会员本人的分析，一律不要 SELECT 这三列 —— 用 member_id 做聚合与关联。★ 刻意**不落**：姓名 / 邮箱 / 生日 / 性别 / 证件 / 地址 / 车牌 / 第三方身份绑定。不是漏了，是逐字段判过的 —— 判据（实测覆盖率）与将来的追加方法见 sql/060_pos_member_baseline.sql 的**附录 C**，不要凭猜测重新决策。★ 手机号变更历史**不在本表也不在本库**：本表是快照式全量替换，换号后旧号直接消失，POS 的 /crm/memberCard/web/customer/qryChangePhoneLog 是唯一能追回历史的地方（建店至今全量仅 4 行）。是否落这张日志表见**附录 D**。某会员今晚未出现在 POS 快照里时保留旧值，用 snapshot_date 识别失效行，绝不 DELETE。",一行一个 POS 会员（store + member_id）的当前状态快照，不留历史,已确认：生产库表注释,,,"UNIQUE (store, member_id)","CHECK (hbti_status = 'processing'::text AND hbti_attempt_id IS NOT NULL OR hbti_status IS DISTINCT FROM 'processing'::text AND hbti_attempt_id IS NULL) | CHECK (hbti_campaign_version IS NULL OR hbti_campaign_version ~ '^[A-Za-z0-9][A-Za-z0-9._-]{0,63}$'::text) | CHECK (hbti_category IS NULL OR (hbti_category = ANY (ARRAY['drink'::text, 'dessert'::text, 'bakery'::text]))) | CHECK (hbti_code IS NULL OR hbti_code ~ '^[IH][LS][BD][AT]$'::text) | CHECK (hbti_member_hash IS NULL OR hbti_member_hash ~ '^[a-f0-9]{64}$'::text) | CHECK ((hbti_color IS NULL OR btrim(hbti_color) = hbti_color AND length(hbti_color) >= 1 AND length(hbti_color) <= 32) AND (hbti_gender IS NULL OR btrim(hbti_gender) = hbti_gender AND length(hbti_gender) >= 1 AND length(hbti_gender) <= 32) AND (hbti_age IS NULL OR btrim(hbti_age) = hbti_age AND length(hbti_age) >= 1 AND length(hbti_age) <= 32)) | CHECK (hbti_campaign_version IS NULL AND hbti_code IS NULL AND hbti_visit_time IS NULL AND hbti_category IS NULL AND hbti_color IS NULL AND hbti_completed_at IS NULL AND hbti_gender IS NULL AND hbti_age IS NULL OR hbti_campaign_version IS NOT NULL AND hbti_code IS NOT NULL AND hbti_visit_time IS NOT NULL AND hbti_category IS NOT NULL AND hbti_color IS NOT NULL AND hbti_completed_at IS NOT NULL) | CHECK (hbti_status IS NULL AND hbti_record IS NULL OR hbti_status IS NOT NULL AND hbti_record IS NOT NULL AND (hbti_record ->> 'status'::text) = hbti_status) | CHECK (hbti_status IS NULL OR (hbti_status = ANY (ARRAY['processing'::text, 'issued'::text, 'review'::text, 'unrewarded'::text]))) | CHECK (hbti_visit_time IS NULL OR (hbti_visit_time = ANY (ARRAY['morning'::text, 'night'::text]))) | CHECK (phone_country_code ~ '^[1-9][0-9]{0,3}$'::text) | CHECK (phone_national ~ '^[1-9][0-9]{5,14}$'::text)",hbti_web,hbti_web,SPLIT_PRIVACY,pos_member | pos_member_contact | pos_member_card | pos_member_balance_snapshot | v_pos_member_state_current | mkt_campaign_member | mkt_survey_response | mkt_survey_result | mkt_reward_claim,CRITICAL
table,pos_member_card_txn,14741,"一行一笔会员卡交易事件，全量约 14,386 行（2025-11 至今），近月约 1,000~1,200 行/月。写者 = ~/hot/res_api 的 scrape-member-flows.mjs → sync-to-db.js（数据源 reportId=100150 行级）；本迁移挂在财务链上只因执行器在那里 —— **财务站不是写者，只读**。这是全库唯一记录「充值」的地方：daily_payment_breakdown 的 'Membership card balance' 只有核销（存量释放），充值这条腿在库里此前完全不存在。txn_type 六种（2024-01-01~2026-07-26 全量穷举，只有这六种）：10 充值 / 20 消费核销 / 30 充值退款 / 40 消费退款 / 50 调增 / 60 调减。实测恒等式：SUM(total_amount) 按 (10+30+50+60) - (20+40) 组合 = 期末储值总余额。金额单位 MYR 元（报表引擎本身返回元，不同于 /crm 的分）。★ 本表**不含任何 PII，包括手机号**。报表返回的 D_customerPhone 刻意不落：实测它是查询时联当前档案取的值，不是交易时点的历史值（6,292 行里 distinct 手机号数 == distinct customerId 数，换过号的 4 个会员只出现一个号），落进来只会得到 14,386 份同批 PII 副本、同时过期、且提供不了任何流水里没有的信息。要拿手机号请用 member_id 关联 pos_member。同样不落 D_customerName / D_customerEmail（PII）、D_orderRemark（自由文本，门店可能手打进客人手机号，是一条绕过本设计的 PII 旁路）、D_operator（实测全月仅 1 个取值，零审计价值且是员工标识）。member_id 以 pos_member 为准：遇到 pos_member 里没有的 member_id，同步侧记 warning，**不要顺手插一条半截的会员记录**。","一行一笔会员卡交易事件，全量约 14,386 行（2025-11 至今），近月约 1,000~1,200 行/月",已确认：生产库表注释,,,"UNIQUE (store, txn_id)","CHECK (txn_type_label = ANY (ARRAY['topup'::text, 'consume'::text, 'topup_refund'::text, 'consume_refund'::text, 'adjust_increase'::text, 'adjust_decrease'::text, 'unknown'::text]))",res_api,未由静态扫描确认,MIGRATE_LOSSLESS,pos_member_card_transaction,CRITICAL
table,pos_member_daily,951,"一行一天 × 一门店的会员日汇总。写者 = ~/hot/res_api；本迁移挂在财务链上只因执行器在那里 —— **财务站不是写者，只读**。本表不含任何 PII。必须分清三个易混淆的兄弟：(a) 本表 card_payment_net 与 daily_payment_breakdown 中 payment_method='Membership card balance' 的 net_sales **口径完全相同**（核销含赠送卡值、已扣消费退款、不含充值），实测 2026-07-20~23 逐日相等，两者互为一致性哨兵；(b) 本表 net_stored_value_cash / net_stored_value_face 与 finance_pl_metrics 中 metric='储值净额' **不是一回事** —— 后者是月粒度、来自财务模板人工维护、与 POS 无数据链路。实测两者按月差 RM 50.53(2026-02) ~ RM 10,169.54(2026-04) 且无规律，**禁止把任何一方当作另一方的校验基准或用于自动勾稽**；(c) member_consume_ratio（会员贡献营业额占比，不限支付方式，来自 POS 的 queryCustomerConsumeRatio）与 card_payment_ratio（卡余额付款占比）是两个不同指标；daily_revenue.member_sales_ratio 对应的是后者。balance_end_* 是存量快照，只能当天抓当天记，事后无法从流水反推 —— 这是本表非做不可的理由。抓不到写 NULL 并置 is_partial=true、把失败来源写进 missing_sources；查询成功但当天确无该类交易时写真 0。**绝不用 0 填补缺失事实**。",一行一天 × 一门店的会员日汇总,已确认：生产库表注释,,,"UNIQUE (date, store)",CHECK (topup_adjust_amount IS NULL OR adjust_correction IS NULL OR adjust_net IS NULL OR abs(topup_adjust_amount + adjust_correction - adjust_net) <= 0.01),res_api,未由静态扫描确认,SPLIT,pos_member_daily_metric | v_pos_member_daily_summary,CRITICAL
table,pos_member_order_item,43997,"一行 = 一个会员订单里的一样商品（同单同品的多行已 SUM 合并）。全库唯一能把会员与具体商品关联起来的表。数据源 = RES 商品报表 reportId=211，过滤 D_isMemberConsume=true；写者 = ~/hot/res_api/scrape-member-order-item.mjs。★ 重复行必须 SUM 不得 DISTINCT：报表对同一(订单,商品)会返回多条完全相同的行，那是同单分行点的同一样东西，去重会导致金额与件数少算约 25%（2026-08-08 实测：原样 RM78,761.75/5,209 件 对得上 hourly_sales_summary 的 RM78,456.19 与 daily_sales_record 的 5,234 件；去重只剩 RM59,277.68/3,930 件）。★ 独立表，未挂财务仓库的迁移链，待数据库重构时统一编排。",一行 = 一个会员订单里的一样商品（同单同品的多行已 SUM 合并）,已确认：生产库表注释,"PRIMARY KEY (order_id, item_key)",,,"CHECK (member_id IS NULL OR member_id ~ '^[0-9]{1,32}$'::text) | CHECK (qty > 0::numeric)",未由静态扫描确认,res_api,MIGRATE_LATEST_SNAPSHOT,pos_order | pos_order_item | v_pos_member_order_item,CRITICAL
table,pos_product,211,商品主数据，一行一个 RES 商品（主键 item_key = RES 的 menuItemNameKey，形如 {orgId}-{orgType}-{menuItemId}）。这是全库唯一的商品身份权威：POS 销售事实、成本卡、供应链都应通过它关联，不要再按名字 JOIN——实测名字路径只能覆盖 2.6% 的营收，且存在 3 组不同商品同显示名。写者 = ~/hot/res_api 的 RES 目录同步；财务站与 bakery-ops 只读。易混淆的兄弟表：product 是 bakery-ops 排产用的中文商品主数据（45 行，只含烘焙品）；cost_card_item 是财务站从 MySQL 迁来的成本卡物料（含原料/半成品）；两者都不是 POS 身份。,商品主数据，一行一个 RES 商品（主键 item_key = RES 的 menuItemNameKey，形如 {orgId}-{orgType}-{menuItemId}）,已确认：生产库表注释,PRIMARY KEY (item_key),,,CHECK (has_cost_card = false OR res_cost_card_id IS NOT NULL) | CHECK (item_key ~ '^[0-9]+-[0-9]+-[0-9A-Za-z-]+$'::text) | CHECK (btrim(name_en) = name_en AND name_en <> ''::text) | CHECK (res_theoretical_cost IS NULL OR res_theoretical_cost >= 0::numeric) | CHECK (res_total_cost IS NULL OR res_total_cost >= 0::numeric) | CHECK (sales_price IS NULL OR sales_price >= 0::numeric),bakery_ops、finance_web、res_api,res_api,MIGRATE_SOURCE,pos_product_listing | pos_product_mapping | ops_product,CRITICAL
table,product,54,排产系统的商品主数据，一行一个商品：中文品名（唯一）、英文名、售价、包装倍数 pack_multiple、整盘展示量。由 bakery-ops 排产模块写入（Excel 导入接口 /api/import/products 与 forecast-calc.repository）。注意：与财务站的 cost_card_item 是两套彼此独立的商品主数据，无外键无映射表，仅靠品名字符串偶然重合（本表 54 条里只有约 20 条能对上 cost_card_item 的成品），不可当作同一份主数据 join,排产系统的商品主数据，一行一个商品：中文品名（唯一）、英文名、售价、包装倍数 pack_multiple、整盘展示量,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (item_key) REFERENCES pos_product(item_key) ON DELETE SET NULL,UNIQUE (name),,bakery_ops,bakery_ops,MIGRATE_MASTER,ops_product | ops_business_rule | v_pos_item_sales_day | v_ops_timeslot_sales_baseline,CRITICAL
table,product_alias,98,商品别名映射，一行一条：把老板或 Excel 里的各种中文写法（alias，唯一）归一到中文标准品名 standard_name，供排产匹配 product.name；bakery-ops product.repository 写。与 item_alias（POS 英文名→中文名）、item_category（POS 英文名→品类）来源和键的语种都不同，三张表不可混用；standard_name 值为 _REMOVED_ 的行表示该别名已作废,商品别名映射，一行一条：把老板或 Excel 里的各种中文写法（alias，唯一）归一到中文标准品名 standard_name，供排产匹配 product.name,已确认：生产库表注释,PRIMARY KEY (id),FOREIGN KEY (item_key) REFERENCES pos_product(item_key) ON DELETE SET NULL,UNIQUE (alias),,bakery_ops,未由静态扫描确认,MIGRATE,ops_product_alias,MEDIUM
table,prompt_segment,45,Prompt 积木块，一行一个可复用片段（segment_key 唯一）：category 分 role / rule / knowledge / context / format 五类，content 里可含 ${变量} 占位，variables 声明占位名，is_active 与 version 控制启用；由 prompt_template 按 key 组装。bakery-ops prompt.repository 写，改这里会直接改变 AI 输出,Prompt 积木块，一行一个可复用片段（segment_key 唯一）：category 分 role / rule / knowledge / context / format 五类，content 里可含 ${变量} 占位，variables 声明占位名，is_active 与 version 控制启用,已确认：生产库表注释,PRIMARY KEY (id),,UNIQUE (segment_key),,bakery_ops,未由静态扫描确认,VERSION,ai_prompt_segment | ai_prompt_template_segment,HIGH
